GeographyCode,WP102EW0001,WP102EW0002,WP102EW0003
E09000011,86199,4734.32,18.20726102
E09000012,103604,1906.38,54.34593313
E09000013,124530,1640.46,75.91163454
E09000014,81001,2958.91,27.37528347
E09000015,73804,5046.99,14.62336957
E09000016,84726,11236.21,7.540442907
E09000017,164963,11569.86,14.25799448
E09000018,128880,5598.72,23.01954733
E09000019,167159,1486.03,112.4869619
E09000020,116546,1212.92,96.08712858
E09000021,72450,3724.68,19.45133542
E09000022,137664,2682.31,51.32292688
E09000023,78895,3514.66,22.44740601
E09000024,75223,3760.97,20.0009572
E09000025,103887,3622.48,28.6784192
E09000026,78894,5641.16,13.98542144
E09000027,78387,5741.44,13.65284667
E09000028,183496,2885.45,63.59354693
E09000029,72286,4385.03,16.48472188
E09000030,234726,1976.87,118.736184
E09000031,79221,3881.5,20.40989308
E09000032,117924,3426.42,34.4160961
E09000033,579739,2148,269.8971136
W06000001,24405,71123.86,0.343133795
W06000002,57626,253496.72,0.22732444
W06000003,45201,112580.95,0.401497767
W06000004,41357,83665.54,0.494313429
W06000005,72020,43753.88,1.64602545
W06000006,60837,50377.47,1.20762317
W06000008,32426,178560.21,0.181597009
W06000009,52951,161873.95,0.327112547
W06000010,73870,237035.33,0.311641307
W06000011,110469,37974.54,2.909027996
W06000012,51434,44125.54,1.165628795
W06000013,60466,25074.72,2.41143271
W06000014,45574,33095.24,1.377056036
W06000015,199702,14038.27,14.22554204
W06000016,82073,42413.13,1.935084725
W06000018,58647,27745.09,2.113779411
W06000019,22021,10876.25,2.024686818
W06000020,38863,12564.11,3.09317572
W06000021,38064,84915.03,0.448259866
W06000022,73360,19051.63,3.850589162
W06000023,60142,518061.13,0.116090547
W06000024,24856,11139.21,2.23139702
E02000001,356706,289.8,1230.869565
E02000002,1130,216.16,5.227609178
E02000003,3620,214.15,16.90403922
E02000004,1508,249.3,6.048937024
E02000005,1545,118.8,13.00505051
E02000007,3664,173.6,21.10599078
E02000008,2356,142,16.5915493
E02000009,1168,96.07,12.1578016
E02000010,1504,112.15,13.41061079
E02000011,2785,159.41,17.47067311
E02000012,1900,130.03,14.61201261
E02000013,1289,130.45,9.881180529
E02000014,1836,119.3,15.38977368
E02000015,1333,136.16,9.789952996
E02000016,7136,88.66,80.48725468
E02000017,1704,87.65,19.44095836
E02000018,1206,135.77,8.88266922
E02000019,4262,303.77,14.03035191
E02000020,4988,341.93,14.58778112
E02000021,6053,288.03,21.01517203
E02000022,2425,74.87,32.38947509
E02000023,2634,174.54,15.0910966
E02000024,5670,375.37,15.1050963
E02000025,1870,240.19,7.785503143
E02000026,1104,146.57,7.532237156
E02000027,4111,167.43,24.55354476
E02000028,2254,105.56,21.35278515
E02000029,2668,168.45,15.83852775
E02000030,2495,1457.87,1.711400879
E02000031,3976,193.9,20.50541516
E02000032,1432,139.8,10.24320458
E02000033,3970,177.56,22.35863933
E02000034,2040,155.82,13.09202926
E02000035,2504,129.8,19.29121726
E02000036,2026,179.46,11.28942383
E02000037,2010,432.47,4.647721229
E02000038,2799,176.24,15.88175216
E02000039,2855,213.19,13.39181012
E02000040,4021,515.5,7.800193986
E02000041,4515,134.91,33.46675561
E02000042,4995,121.25,41.19587629
E02000043,1202,146.92,8.181323169
E02000044,1683,110.75,15.19638826
E02000045,2481,173.47,14.30218482
E02000046,3090,96.93,31.87867533
E02000047,3399,142.23,23.89791183
E02000048,2281,308.41,7.395998833
E02000049,2586,78.84,32.80060883
E02000050,3095,212.06,14.59492596
E02000051,4881,144.86,33.69460168
E02000052,3361,96.93,34.67450738
E02000053,6353,155,40.98709677
E02000054,2394,150.05,15.95468177
E02000055,5792,144.04,40.21105249
E02000056,2679,322.71,8.30157107
E02000057,2107,109.42,19.2560775
E02000058,3616,181.34,19.94044337
E02000059,3873,219.35,17.65671302
E02000060,2819,123.26,22.87035535
E02000061,3668,158.69,23.1142479
E02000062,7652,183.85,41.62088659
E02000063,1338,103.77,12.89389997
E02000064,1447,79.44,18.21500504
E02000065,2874,320.51,8.966958909
E02000066,1626,157.26,10.33956505
E02000067,3267,231.37,14.12024031
E02000068,4939,227.16,21.74238422
E02000069,1292,145.14,8.901750034
E02000070,1027,185.61,5.533107052
E02000071,2018,117.87,17.12055655
E02000072,3509,437.55,8.019654897
E02000073,1520,160.01,9.499406287
E02000074,1554,112.9,13.76439327
E02000075,1366,153.54,8.896704442
E02000077,1408,111.73,12.60180793
E02000078,1137,148.78,7.642156204
E02000079,8226,164.78,49.92110693
E02000080,3239,169.18,19.14528904
E02000081,2584,220.58,11.71457068
E02000082,2001,149.75,13.36227045
E02000083,5895,373.92,15.76540436
E02000084,2139,259.38,8.246588018
E02000085,1760,162.34,10.84144388
E02000086,1472,148.85,9.889150151
E02000087,2112,371.63,5.683071873
E02000088,1175,199.89,5.878233028
E02000089,1204,136.77,8.803100095
E02000090,6096,180.98,33.68327992
E02000091,3887,273.36,14.21934445
E02000092,4545,599.19,7.585240074
E02000093,3553,137.74,25.79497604
E02000094,3622,116.34,31.13288637
E02000095,2888,154.89,18.64549035
E02000096,1926,163.55,11.77621522
E02000097,2024,187.13,10.81601026
E02000098,1861,183.85,10.12238238
E02000099,2772,128.72,21.53511498
E02000100,6410,207.86,30.83806408
E02000101,3090,140.4,22.00854701
E02000102,1708,135.93,12.56529096
E02000103,4955,177.2,27.96275395
E02000104,1811,110.8,16.34476534
E02000105,2006,136.98,14.64447365
E02000106,3903,134.11,29.10297517
E02000107,2721,95.46,28.50408548
E02000108,823,81.3,10.12300123
E02000109,8614,194.06,44.38833351
E02000110,1356,79.9,16.97121402
E02000111,3337,112.78,29.58857954
E02000112,5163,126.87,40.69519981
E02000113,3579,148.35,24.12537917
E02000114,2261,61.35,36.85411573
E02000115,1414,84.88,16.65881244
E02000116,3123,109.63,28.48672809
E02000117,2801,89,31.47191011
E02000118,3321,123.39,26.91466083
E02000119,11908,257.13,46.31120445
E02000120,2756,50.62,54.44488345
E02000121,5186,139.52,37.17029817
E02000122,1987,120.25,16.52390852
E02000123,4155,103.51,40.14104917
E02000124,4590,109.65,41.86046512
E02000125,1928,76.58,25.17628624
E02000126,1669,43.79,38.11372459
E02000127,1415,222.54,6.358407477
E02000128,1913,253.71,7.540104844
E02000130,3516,148.61,23.65924231
E02000131,2056,176.66,11.63817503
E02000132,4125,173.76,23.73964088
E02000133,2512,597.68,4.202917949
E02000134,6331,193.47,32.72341965
E02000135,2342,115.69,20.24375486
E02000136,1795,455.9,3.937266945
E02000137,1372,186.12,7.371588223
E02000138,2203,208.44,10.56898868
E02000139,1983,153.61,12.9093158
E02000140,3070,188.7,16.26921039
E02000141,1472,93.3,15.77706324
E02000142,4012,177.97,22.54312525
E02000144,14700,198.54,74.04049562
E02000145,3359,1128.04,2.977731286
E02000146,3044,180.36,16.8773564
E02000147,1250,225.05,5.554321262
E02000148,2010,280.69,7.160924864
E02000149,3243,187.9,17.25918042
E02000150,3044,307.72,9.89210971
E02000151,1177,210.16,5.600494861
E02000152,1831,257.3,7.116206763
E02000153,1181,224.76,5.254493682
E02000154,5507,208.62,26.39727735
E02000155,1112,181.74,6.118631011
E02000156,3703,384.35,9.634447769
E02000157,1459,244.77,5.960697798
E02000158,1093,216.03,5.059482479
E02000159,3078,588.62,5.229180116
E02000160,2798,845.96,3.307484987
E02000161,1477,171.88,8.593204561
E02000162,4595,1276.03,3.601012515
E02000163,2866,1130.68,2.534757845
E02000165,1541,566.19,2.721701196
E02000166,3101,302.39,10.25496875
E02000167,3845,208.13,18.47403065
E02000168,5494,68.06,80.72289157
E02000169,2121,112.25,18.89532294
E02000170,2264,77.15,29.34543098
E02000171,2314,52.15,44.37200384
E02000172,4975,66.89,74.37584093
E02000173,10765,77.88,138.2254751
E02000174,3056,54.59,55.98094889
E02000175,3949,69.13,57.12425864
E02000176,2045,39.77,51.42066885
E02000177,2355,52.38,44.95990836
E02000178,2190,56.19,38.97490657
E02000179,1483,38.29,38.7307391
E02000180,2218,48.54,45.69427276
E02000181,1281,54.04,23.70466321
E02000182,3585,79.78,44.9360742
E02000183,7108,77.19,92.0844669
E02000184,9940,66.47,149.5411464
E02000185,2541,47.24,53.78916173
E02000186,24140,100.33,240.6060002
E02000187,7794,96.81,80.50821196
E02000188,7915,50.8,155.8070866
E02000189,5189,29.8,174.1275168
E02000190,10143,37.07,273.6174804
E02000191,40890,64.17,637.2136512
E02000192,30890,43.23,714.550081
E02000193,68776,108.9,631.5518825
E02000194,2849,139.2,20.46695402
E02000195,1668,193.69,8.611699107
E02000196,1815,122.61,14.80303401
E02000197,1821,99.28,18.34206285
E02000198,1685,89.2,18.89013453
E02000199,1228,86.29,14.23108124
E02000200,2227,124.75,17.85170341
E02000201,1952,85.9,22.72409779
E02000202,1368,73.5,18.6122449
E02000203,2770,77.38,35.79736366
E02000204,1843,108.66,16.96116326
E02000206,3798,146.11,25.99411402
E02000207,1915,124.11,15.42986061
E02000208,4799,87.55,54.81439178
E02000209,2203,100.29,21.96629774
E02000210,1366,77.48,17.63035622
E02000211,1348,167.84,8.031458532
E02000212,3705,124.13,29.84774027
E02000213,7010,103.08,68.00543267
E02000214,1451,103.08,14.07644548
E02000215,3623,98.65,36.72579828
E02000216,1241,218.67,5.675218366
E02000217,7813,143.14,54.58292581
E02000218,1025,113.82,9.005447197
E02000219,2001,570.9,3.504992118
E02000220,16751,149.55,112.0093614
E02000221,5359,280.56,19.10108355
E02000222,2780,186.13,14.93579756
E02000223,756,96.19,7.859444849
E02000224,2862,128.08,22.34540912
E02000225,1529,163.12,9.373467386
E02000226,2126,328.15,6.478744477
E02000227,2109,459.98,4.584981956
E02000228,1584,312.96,5.061349693
E02000229,1626,132,12.31818182
E02000230,4058,261.47,15.51994493
E02000231,2065,336.27,6.140898683
E02000232,1325,437.13,3.031134903
E02000233,1455,158.66,9.170553385
E02000234,3422,311.07,11.00073938
E02000235,1688,539.56,3.128475054
E02000236,1554,357.46,4.347339562
E02000237,1712,494.95,3.458935246
E02000238,3474,152.35,22.80275681
E02000239,1738,235.51,7.379729099
E02000240,1669,172.83,9.656888272
E02000241,2092,130.48,16.03310852
E02000242,2830,88.85,31.851435
E02000243,6078,284.56,21.35929154
E02000244,4066,179.63,22.63541725
E02000245,1215,165.52,7.340502658
E02000246,1180,205.72,5.735951779
E02000247,1933,139.8,13.82689557
E02000248,6059,172.67,35.09005618
E02000249,3086,127.85,24.13766132
E02000250,1306,99.78,13.08879535
E02000251,1130,94.55,11.95134849
E02000252,17880,319.62,55.94143045
E02000253,1465,115.65,12.66753134
E02000254,1281,104.1,12.3054755
E02000255,1954,154.86,12.61784838
E02000256,6327,109.64,57.70704123
E02000257,7657,218.12,35.10452962
E02000258,1106,103.25,10.71186441
E02000259,1584,127.79,12.3953361
E02000260,3412,108.65,31.40358951
E02000261,2402,130.45,18.41318513
E02000262,3686,70.75,52.09893993
E02000263,2398,123.54,19.41071718
E02000264,2527,143.67,17.58891905
E02000265,3733,101.38,36.82185835
E02000266,9321,386.76,24.10021719
E02000267,2928,75.36,38.85350318
E02000268,3347,132.6,25.2413273
E02000269,3471,88.53,39.20704846
E02000270,4009,79.64,50.33902562
E02000271,3414,74.74,45.67835162
E02000272,2075,119.88,17.30897564
E02000274,3798,143.54,26.45952348
E02000275,1715,117.25,14.62686567
E02000276,1696,84.13,20.15927731
E02000277,1148,104.7,10.96466094
E02000278,1305,131.49,9.924709103
E02000279,3655,260.8,14.01457055
E02000280,3308,1556.49,2.125294734
E02000281,2220,189.78,11.6977553
E02000282,1841,126.23,14.58448863
E02000283,1627,114.06,14.26442223
E02000284,3451,128.3,26.89789556
E02000285,3617,98.53,36.70963158
E02000286,6148,205.1,29.97562165
E02000287,3046,886.74,3.435054244
E02000288,6738,211.62,31.84009073
E02000289,1156,340.13,3.398700497
E02000290,6847,488.34,14.020969
E02000291,4711,115.71,40.7138536
E02000292,3546,187.89,18.87274469
E02000293,1121,215.89,5.192459123
E02000294,1671,150.01,11.13925738
E02000295,1857,162.03,11.46084059
E02000296,6305,180.23,34.98307718
E02000297,2047,162.02,12.63424269
E02000298,2148,200.01,10.73946303
E02000299,1970,87.7,22.46294185
E02000300,1341,77.71,17.25646635
E02000301,2111,182.15,11.58934944
E02000302,1751,158.02,11.08087584
E02000303,2026,124.24,16.30714746
E02000304,1528,172.07,8.880106933
E02000305,2843,96.09,29.58684567
E02000306,5044,208.86,24.15014842
E02000307,1471,110.6,13.30018083
E02000308,2581,114.73,22.49629565
E02000309,3933,162.84,24.15254237
E02000311,2216,141.72,15.63646627
E02000312,2795,131.02,21.33262097
E02000313,784,73.06,10.7309061
E02000314,6011,318.85,18.85212482
E02000315,1545,119.29,12.95163048
E02000316,11386,188.4,60.43524416
E02000317,1386,65.26,21.23812443
E02000318,2703,110.49,24.46375238
E02000319,2717,92.57,29.35076159
E02000320,1208,145.99,8.274539352
E02000321,1476,62.26,23.70703501
E02000323,2744,76.17,36.02468163
E02000324,1735,130.36,13.30929733
E02000326,1158,73.03,15.85649733
E02000327,6047,185.88,32.53174091
E02000328,1303,87.63,14.86933699
E02000329,1012,176.21,5.743147381
E02000331,1334,99.26,13.43945194
E02000332,1814,201.77,8.990434653
E02000333,1990,126.12,15.77862353
E02000334,1095,138.57,7.902143321
E02000335,939,129.41,7.256008036
E02000337,1277,139.82,9.13317122
E02000339,2678,125.62,21.31826142
E02000340,3539,326.54,10.83787591
E02000341,1389,179.15,7.753279375
E02000342,1733,136.11,12.73234884
E02000343,1075,125.67,8.554149757
E02000344,2049,129.2,15.85913313
E02000345,3248,61.2,53.07189542
E02000346,1297,58.28,22.25463281
E02000347,1908,68.58,27.82152231
E02000348,1414,55.86,25.31328321
E02000350,2157,56.65,38.07590468
E02000351,1494,52.26,28.58783008
E02000352,1349,76.28,17.68484531
E02000353,2699,55.86,48.31722163
E02000354,2187,79.32,27.57186082
E02000355,1974,65.6,30.09146341
E02000356,1792,40.3,44.46650124
E02000357,937,152.26,6.153947196
E02000358,3313,61.61,53.77373803
E02000359,1205,43.68,27.58699634
E02000360,2156,54.65,39.45105215
E02000361,6239,59.44,104.9629879
E02000362,2618,129.53,20.21153401
E02000363,4856,59.64,81.42186452
E02000364,2882,66.44,43.37748344
E02000365,4999,96.5,51.80310881
E02000366,1529,64.32,23.77176617
E02000367,4723,73.91,63.90204303
E02000368,1522,63.44,23.99117276
E02000369,4167,65.05,64.0584166
E02000370,3999,48.83,81.89637518
E02000371,34404,99.75,344.9022556
E02000372,17198,344.06,49.98546765
E02000373,1201,40.77,29.45793476
E02000374,931,49.65,18.75125881
E02000375,14464,74.88,193.1623932
E02000376,3354,40.99,81.82483533
E02000377,1967,44.35,44.35174746
E02000378,3130,29.44,106.3179348
E02000379,1512,67.89,22.27132125
E02000380,1974,35.25,56
E02000381,4431,55.31,80.11209546
E02000382,3876,61.65,62.87104623
E02000383,7398,60.05,123.1973356
E02000384,20591,78.2,263.3120205
E02000385,1705,39.97,42.65699274
E02000386,4440,43.76,101.4625229
E02000387,5081,40.77,124.6259505
E02000388,3616,53.17,68.00827534
E02000389,3756,62.82,59.78987584
E02000390,1986,34.79,57.08536936
E02000391,4522,66.53,67.96933714
E02000392,4578,55.32,82.75488069
E02000393,1185,35.59,33.29586963
E02000394,4654,65.84,70.68651276
E02000395,3945,96.89,40.71627619
E02000396,3035,62.52,48.54446577
E02000397,1757,56.39,31.15800674
E02000398,3079,119.14,25.84354541
E02000400,2331,133.38,17.47638327
E02000401,1083,74.68,14.50187467
E02000402,1099,95.08,11.55868742
E02000403,5783,85.09,67.96333294
E02000404,1552,64.1,24.21216849
E02000405,1654,178.21,9.281185119
E02000406,1048,45.8,22.88209607
E02000407,2071,52.21,39.66673051
