ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
WP606EW0056,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_354,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_35
WP606EW0057,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_355,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_35
WP606EW0058,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_356,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_35
WP606EW0059,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_4,
WP606EW0060,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_41,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_4
WP606EW0061,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_411,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_41
WP606EW0062,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_412,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_41
WP606EW0063,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_413,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_41
WP606EW0064,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_415,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_41
WP606EW0065,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_416,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_41
WP606EW0066,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_42,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_4
WP606EW0067,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_421,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_42
WP606EW0068,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_5,
WP606EW0069,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_51,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_5
WP606EW0070,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_511,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_51
WP606EW0071,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_52,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_5
WP606EW0072,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_521,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_52
WP606EW0073,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_522,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_52
WP606EW0074,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_523,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_52
WP606EW0075,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_524,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_52
WP606EW0076,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_525,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_52
WP606EW0077,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_53,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_5
WP606EW0078,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_531,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_53
WP606EW0079,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_532,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_53
WP606EW0080,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_533,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_53
WP606EW0081,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_54,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_5
WP606EW0082,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_541,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_54
WP606EW0083,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_542,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_54
WP606EW0084,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_543,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_54
WP606EW0085,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_544,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_54
WP606EW0086,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_6,
WP606EW0087,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_61,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_6
WP606EW0088,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_612,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_61
WP606EW0089,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_613,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_61
WP606EW0090,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_614,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_61
WP606EW0091,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_62,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_6
WP606EW0092,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_621,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_62
WP606EW0093,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_622,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_62
WP606EW0094,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_623,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_62
WP606EW0095,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_624,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_62
WP606EW0096,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_7,
WP606EW0097,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_71,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_7
WP606EW0098,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_711,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_71
WP606EW0099,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_712,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_71
WP606EW0100,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_713,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_71
WP606EW0101,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_72,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_7
WP606EW0102,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_721,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_72
WP606EW0103,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_722,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_72
WP606EW0104,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_8,
WP606EW0105,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_81,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_8
WP606EW0106,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_811,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_81
WP606EW0107,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_812,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_81
WP606EW0108,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_813,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_81
WP606EW0109,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_814,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_81
WP606EW0110,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_82,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_8
WP606EW0111,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_821,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_82
WP606EW0112,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_822,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_82
WP606EW0113,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_823,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_82
WP606EW0114,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_9,
WP606EW0115,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_91,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_9
WP606EW0116,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_911,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_91
WP606EW0117,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_912,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_91
WP606EW0118,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_913,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_91
WP606EW0119,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_92,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_9
WP606EW0120,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_921,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_92
WP606EW0121,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_923,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_92
WP606EW0122,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_924,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_92
WP606EW0123,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_925,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_92
WP606EW0124,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_926,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_92
WP606EW0125,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_927,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_92
