ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP1101EW0065,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_036, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0066,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_036, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0067,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_037, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0068,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_037, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0069,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_037, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0070,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_038, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0071,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_038, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0072,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_038, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0073,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_039, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0074,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_039, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0075,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_039, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0076,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_040, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0077,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_040, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0078,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_040, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0079,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_041, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0080,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_041, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0081,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_041, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0082,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_042, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0083,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_042, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0084,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_042, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0085,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_043, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0086,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_043, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0087,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_043, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
